DATE,TIME,INVOICE_NO,ITEM,QUANTITY,RATE,SUB_TOTAL,AMOUNT,DAY,CATEGORY,PERSON
01-10-2023,12.08,3,CHAPPATHI,3,18,54,54,1_,MAIN DISH,1
01-10-2023,12.15,4,CHILLI CHICKEN,1,100,100,320,1_,STARTER,2
01-10-2023,12.15,4,CHICKEN BIRIYANI,2,110,220,,1_,MAIN DISH,
01-10-2023,12.15,5,PAROTTA,2,18,36,36,1_,MAIN DISH,1
01-10-2023,12.36,7,KALAKI,1,15,15,69,1_,STARTER,1
01-10-2023,12.36,7,PAROTTA,3,18,54,,1_,MAIN DISH,
01-10-2023,12.5,9,CHICKEN BIRIYANI,1,110,110,110,1_,MAIN DISH,1
01-10-2023,13.01,10,PAROTTA,2,18,36,36,1_,MAIN DISH,1
01-10-2023,13.03,11,EGG MASALA,1,70,70,160,1_,GRAVY,2
01-10-2023,13.03,11,PAROTTA,5,18,90,,1_,MAIN DISH,
01-10-2023,13.04,12,CHICKEN BIRIYANI,1,110,110,110,1_,MAIN DISH,1
01-10-2023,13.08,13,VEG PULAV,1,85,85,,1_,MAIN DISH,
01-10-2023,13.08,13,BUTTER CHICKEN,1,130,130,,1_,GRAVY,
01-10-2023,13.08,13,CURD,1,10,10,315,1_,,2
01-10-2023,13.08,13,PAROTTA,5,18,90,,1_,MAIN DISH,
01-10-2023,13.17,16,OMLETTE,1,18,18,54,1_,STARTER,1
01-10-2023,13.17,16,PAROTTA,2,18,36,,1_,MAIN DISH,
01-10-2023,13.18,17,PAROTTA,2,18,36,36,1_,MAIN DISH,1
01-10-2023,13.2,18,CHICKEN NOODLES,1,100,100,170,1_,MAIN DISH,2
01-10-2023,13.2,18,PLAIN BIRIYANI,1,70,70,,1_,MAIN DISH,
01-10-2023,13.23,19,CHICKEN PULAV,1,120,120,,1_,MAIN DISH,3
01-10-2023,13.23,19,GOLI SODA,1,30,30,430,1_,BEVRAGE,
01-10-2023,13.23,19,CHICKEN BIRIYANI,1,110,110,,1_,MAIN DISH,
01-10-2023,13.23,19,MUTTON BIRIYANI,1,170,170,,1_,MAIN DISH,
01-10-2023,13.38,25,CHICKEN BIRIYANI,1,110,110,110,1_,MAIN DISH,1
01-10-2023,13.39,26,EGG MASALA,1,70,70,70,1_,GRAVY,1
01-10-2023,13.39,27,CHICKEN BIRIYANI,1,110,110,110,1_,MAIN DISH,1
01-10-2023,13.45,28,OMLETTE,1,18,18,88,1_,STARTER,1
01-10-2023,13.45,28,PLAIN BIRIYANI,1,70,70,,1_,MAIN DISH,
01-10-2023,13.46,29,CHAPPATHI,3,18,54,54,1_,MAIN DISH,1
01-10-2023,13.46,30,VEG NOODLES,1,80,80,,1_,MAIN DISH,3
01-10-2023,13.46,30,MUSHROOM CHILLI,1,80,80,340,1_,STARTER,
01-10-2023,13.46,30,CHICKEN BIRIYANI,1,110,110,,1_,MAIN DISH,
01-10-2023,13.46,30,PLAIN BIRIYANI,1,70,70,,1_,MAIN DISH,
01-10-2023,13.49,32,VEG FRIED RICE,1,80,80,410,1_,MAIN DISH,4
01-10-2023,13.49,32,CHICKEN BIRIYANI,3,110,330,,1_,MAIN DISH,
01-10-2023,13.52,33,CHICKEN PAROTTA,1,90,90,,1_,MAIN DISH,2
01-10-2023,13.52,33,HOT PEPPER CHICKEN,1,130,130,350,1_,STARTER,
01-10-2023,13.52,33,GILMA BIRIYANI,1,130,130,,1_,MAIN DISH,
01-10-2023,13.52,34,ROAST,1,35,35,,1_,MAIN DISH,2
01-10-2023,13.52,34,KALAKI,1,15,15,220,1_,STARTER,
01-10-2023,13.52,34,MUTTON BIRIYANI,1,170,170,,1_,MAIN DISH,
01-10-2023,13.54,35,PEPPER CHICKEN MASALA,1,130,130,,1_,GRAVY,2
01-10-2023,13.54,35,COOL DRINKS,1,15,15,217,1_,BEVRAGE,
01-10-2023,13.54,35,PAROTTA,4,18,72,,1_,MAIN DISH,
01-10-2023,13.58,36,CHILLI CHICKEN,1,100,100,180,1_,STARTER,1
01-10-2023,13.58,36,EGG BIRIYANI,1,80,80,,1_,MAIN DISH,
01-10-2023,14.03,38,VEG FRIED RICE,1,80,80,80,1_,MAIN DISH,1
01-10-2023,14.18,40,PEPPER CHICKEN MASALA,1,130,130,270,1_,GRAVY,2
01-10-2023,14.18,40,PLAIN BIRIYANI,2,70,140,,1_,MAIN DISH,
01-10-2023,14.23,42,PAROTTA,1,18,18,,1_,MAIN DISH,2
01-10-2023,14.23,42,VEG FRIED RICE,1,80,80,,1_,MAIN DISH,
01-10-2023,14.23,42,MUSHROOM MANCHURIAN,1,90,90,188,1_,STARTER,
01-10-2023,14.26,43,PLAIN BIRIYANI,1,70,70,70,1_,MAIN DISH,1
01-10-2023,14.37,47,CHILLI FISH,1,110,110,,1_,STARTER,2
01-10-2023,14.37,47,CHICKEN 65,1,105,105,405,1_,STARTER,
01-10-2023,14.37,47,CHICKEN BIRIYANI,1,110,110,,1_,MAIN DISH,
01-10-2023,14.37,47,EGG BIRIYANI,1,80,80,,1_,MAIN DISH,
